Vertices	Distances
       1	        0
       2	       62
       3	       82
       4	       78
       5	      123
       6	       40
       7	      148
       8	      139
       9	      141
      10	      153
      11	      122
      12	      123
      13	      112
      14	       52
      15	      105
      16	      101
      17	      148
      18	       95
      19	      138
      20	      130
      21	      156
      22	      103
      23	       56
      24	      131
      25	       82
      26	      129
      27	      134
      28	      156
      29	      133
      30	       75
      31	      158
      32	       71
      33	      139
      34	      148
      35	      149
      36	      110
      37	      138
      38	      104
      39	      105
      40	      101
      41	       76
      42	      125
      43	      115
      44	       87
      45	      115
      46	      144
      47	      135
      48	      188
      49	       90
      50	      125
      51	      125
      52	       84
      53	      137
      54	      147
      55	      122
      56	       84
      57	      140
      58	      100
      59	      160
      60	      125
      61	      125
      62	      150
      63	      131
      64	      118
      65	       53
      66	      123
      67	      154
      68	      123
      69	      155
      70	       92
      71	      154
      72	      121
      73	      131
      74	      141
      75	      118
      76	      124
      77	      200
      78	      111
      79	       70
      80	       81
      81	      151
      82	      124
      83	      111
      84	      138
      85	      119
      86	      162
      87	       96
      88	       78
      89	       87
      90	      146
      91	      132
      92	      141
      93	      105
      94	      146
      95	      118
      96	      153
      97	      143
      98	      140
      99	      163
     100	      144
     101	      122
     102	      153
     103	      104
     104	      158
     105	       79
     106	      105
     107	      143
     108	      111
     109	      139
     110	      160
     111	      151
     112	       99
     113	      169
     114	      158
     115	      127
     116	      149
     117	      132
     118	      142
     119	      121
     120	       85
     121	      155
     122	      145
     123	      112
     124	      111
     125	      106
     126	      134
     127	      136
     128	      150
     129	      137
     130	      174
     131	      190
     132	      103
     133	      159
     134	      144
     135	      120
     136	      153
     137	       86
     138	      151
     139	      176
     140	       75
     141	      172
     142	      137
     143	      140
     144	       98
     145	       86
     146	      149
     147	      105
     148	      131
     149	       96
     150	       96
     151	      164
     152	      118
     153	      108
     154	      157
     155	      158
     156	      154
     157	      146
     158	      144
     159	      145
     160	      188
     161	      142
     162	      130
     163	      121
     164	      147
     165	      118
     166	      101
     167	      151
     168	       97
     169	      132
     170	      140
     171	       97
     172	       88
     173	      142
     174	      107
     175	      132
     176	      103
     177	       90
     178	      102
     179	      156
     180	      149
     181	      165
     182	       97
     183	      134
     184	       86
     185	       47
     186	      136
     187	      130
     188	      140
     189	      154
     190	      122
     191	      119
     192	      179
     193	      106
     194	      150
     195	      161
     196	      221
     197	      140
     198	      110
     199	      164
     200	      104
     201	      154
     202	      137
     203	      143
     204	      122
     205	      152
     206	      192
     207	      152
     208	      155
     209	       76
     210	       93
     211	      102
     212	      142
     213	      103
     214	      127
     215	      101
     216	      160
     217	      155
     218	      132
     219	      144
     220	      134
     221	      173
     222	      144
     223	      102
     224	      125
     225	      142
     226	      106
     227	      105
     228	      132
     229	      186
     230	      147
     231	       87
     232	      128
     233	       98
     234	      153
     235	      112
     236	      163
     237	      105
     238	       85
     239	      240
     240	       93
     241	      130
     242	      188
     243	      164
     244	      134
     245	      177
     246	      183
     247	      110
     248	      182
     249	      173
     250	      155
     251	      153
     252	      172
     253	      152
     254	      177
     255	      150
     256	      102
     257	      167
     258	      165
     259	      139
     260	      116
     261	      164
     262	      142
     263	      107
     264	      112
     265	      156
     266	      162
     267	      198
     268	      140
     269	      155
     270	      202
     271	      131
     272	      104
     273	      149
     274	       83
     275	      150
     276	      120
     277	      121
     278	      161
     279	       92
     280	       91
     281	      141
     282	      151
     283	      166
     284	      189
     285	      144
     286	      106
     287	       58
     288	      158
     289	      131
     290	      128
     291	      147
     292	      120
     293	      164
     294	      193
     295	      147
     296	      188
     297	      114
     298	       92
     299	      139
     300	      156
     301	      105
     302	      138
     303	      147
     304	      169
     305	      134
     306	      142
     307	      167
     308	      175
     309	      141
     310	      124
     311	      133
     312	      196
     313	      163
     314	       63
     315	      121
     316	      125
     317	      128
     318	      119
     319	      135
     320	      138
     321	      199
     322	      175
     323	      113
     324	      148
     325	      110
     326	      148
     327	      156
     328	      192
     329	      122
     330	      158
     331	      157
     332	      118
     333	      117
     334	      114
     335	      171
     336	      106
     337	      128
     338	      144
     339	      144
     340	       75
     341	      157
     342	      139
     343	      147
     344	      135
     345	      159
     346	      154
     347	      139
     348	      141
     349	      129
     350	      177
     351	      165
     352	      155
     353	      128
     354	       75
     355	      121
     356	      183
     357	      104
     358	      122
     359	      190
     360	      159
     361	      126
     362	      148
     363	      148
     364	      139
     365	      141
     366	      134
     367	      123
     368	      146
     369	      170
     370	      142
     371	       95
     372	      144
     373	      182
     374	      128
     375	      138
     376	      131
     377	      132
